n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.0[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.0[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.0[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  10  drift  0.440177E+01   0.100000E+01   0.141340E-08   0.381704E+00   0.386337E+00   0.104746E+01   0.106972E+01   0.318605E+01   0.871367E+01   0.251203E-02      0.401233E-01        0.628819E-01        0.790967E-01        0.398580E-01        0.627827E-01        0.792711E-01        0.573759E+01        0.898919E+01        0.113931E+02     0.690276E-06   0.258702E-05   0.261507E-05   0.116564E-04   0.463491E-01   0.617775E-02  -0.930580E-01   0.673221E+00  -0.170145E+00   0.694255E+00   0.796227E+00      0.162125E+02     0.000000E+00    0.100001E+06
  11  drift  0.477527E+01   0.100000E+01   0.141340E-08   0.384258E+00   0.390427E+00   0.105452E+01   0.108685E+01   0.327982E+01   0.898907E+01   0.251203E-02      0.401233E-01        0.628819E-01        0.790967E-01        0.398580E-01        0.627827E-01        0.792711E-01        0.573759E+01        0.898859E+01        0.113924E+02     0.786901E-06   0.258702E-05   0.305043E-05   0.116564E-04   0.463491E-01   0.649315E-02  -0.149018E+00   0.682262E+00  -0.225501E+00   0.709032E+00   0.855321E+00      0.171809E+02     0.000000E+00    0.100001E+06
  12  bmag   0.553782E+01   0.100000E+01  -0.761457E-07   0.387554E+00   0.400710E+00   0.105207E+01   0.111797E+01   0.348855E+01   0.956755E+01   0.251203E-02      0.430966E-01        0.674316E-01        0.863401E-01        0.398580E-01        0.628069E-01        0.793017E-01        0.575842E+01        0.903261E+01        0.114337E+02    -0.112653E-03   0.547674E-02   0.382593E-05   0.115749E-04   0.463491E-01   0.717844E-02  -0.201910E+00   0.646136E+00  -0.259077E-01   0.746870E+00   0.972026E+00      0.193670E+02     0.000000E+00    0.100001E+06
  13  drift  0.647782E+01   0.100000E+01  -0.761457E-07   0.402903E+00   0.405167E+00   0.110330E+01   0.112578E+01   0.375635E+01   0.103190E+02   0.251203E-02      0.430966E-01        0.674316E-01        0.863401E-01        0.398580E-01        0.628069E-01        0.793017E-01        0.575843E+01        0.903107E+01        0.114317E+02     0.402161E-03   0.547674E-02   0.491397E-05   0.115749E-04   0.463491E-01   0.797524E-02  -0.353321E+00   0.698328E+00  -0.151851E+00   0.763579E+00   0.112021E+01      0.224544E+02     0.000000E+00    0.100001E+06
  14  bmag   0.828862E+01   0.100000E+01  -0.697249E-07   0.170056E+00   0.442842E+00   0.469937E+00   0.122767E+01   0.428342E+01   0.118880E+02   0.251203E-02      0.121239E+00        0.190585E+00        0.243093E+00        0.398792E-01        0.628087E-01        0.794042E-01        0.675022E+01        0.105749E+02        0.133521E+02     0.223418E-02   0.737962E-02   0.781055E-05   0.100946E-03   0.463491E-01   0.933177E-02  -0.406662E+00   0.442226E-01  -0.689237E+00   0.911699E+00   0.106478E+01      0.249080E+02     0.000000E+00    0.100001E+06
  15  drift  0.928862E+01   0.100000E+01  -0.697249E-07   0.504416E+00   0.478790E+00   0.138163E+01   0.132479E+01   0.457885E+01   0.127572E+02   0.251203E-02      0.121239E+00        0.190585E+00        0.243093E+00        0.398792E-01        0.628087E-01        0.794042E-01        0.675028E+01        0.105739E+02        0.133509E+02     0.297214E-02   0.737962E-02   0.179051E-04   0.100946E-03   0.463491E-01   0.128396E-01  -0.304191E+01   0.389080E+00  -0.851028E+00   0.106573E+01   0.119925E+01      0.284622E+02     0.000000E+00    0.100001E+06
  16  quad   0.944102E+01   0.100000E+01  -0.697249E-07   0.621598E+00   0.434456E+00   0.170441E+01   0.120363E+01   0.462519E+01   0.128863E+02   0.251203E-02      0.121253E+00        0.190664E+00        0.242885E+00        0.398906E-01        0.628420E-01        0.796476E-01        0.675031E+01        0.105738E+02        0.133508E+02     0.344597E-02   0.555846E-01   0.176102E-04  -0.137677E-03   0.463491E-01   0.148153E-01  -0.110539E+02   0.590784E+00   0.122087E+02   0.877250E+00   0.121974E+01      0.290409E+02     0.000000E+00    0.100001E+06
  17  drift  0.963152E+01   0.100000E+01  -0.697249E-07   0.843397E+00   0.319413E+00   0.231703E+01   0.887275E+00   0.468357E+01   0.130411E+02   0.251203E-02      0.121253E+00        0.190664E+00        0.242885E+00        0.398906E-01        0.628420E-01        0.796476E-01        0.675042E+01        0.105737E+02        0.133506E+02     0.450486E-02   0.555846E-01   0.149875E-04  -0.137677E-03   0.463491E-01   0.201440E-01  -0.150262E+02   0.108761E+01   0.895025E+01   0.474171E+00   0.124535E+01      0.297782E+02     0.000000E+00    0.100001E+06
  18  quad   0.978392E+01   0.100000E+01  -0.697249E-07   0.893365E+00   0.270630E+00   0.245665E+01   0.755475E+00   0.473059E+01   0.131719E+02   0.251203E-02      0.121286E+00        0.190890E+00        0.245676E+00        0.398822E-01        0.628268E-01        0.795275E-01        0.675044E+01        0.105735E+02        0.133504E+02     0.460399E-02  -0.421275E-01   0.149443E-04   0.129246E-03   0.463491E-01   0.214231E-01   0.698001E+01   0.121997E+01   0.713768E+00   0.340467E+00   0.126584E+01      0.303790E+02     0.000000E+00    0.100001E+06
  19  drift  0.100868E+02   0.100000E+01  -0.697249E-07   0.738875E+00   0.254586E+00   0.203620E+01   0.714467E+00   0.482492E+01   0.134320E+02   0.251203E-02      0.121286E+00        0.190890E+00        0.245676E+00        0.398822E-01        0.628268E-01        0.795275E-01        0.675049E+01        0.105859E+02        0.133492E+02     0.332795E-02  -0.421275E-01   0.188592E-04   0.129246E-03   0.463491E-01   0.229637E-01   0.574552E+01   0.834511E+00   0.579477E+00   0.301294E+00   0.130657E+01      0.316024E+02     0.000000E+00    0.100001E+06
  20  quad   0.102392E+02   0.100000E+01  -0.697249E-07   0.674844E+00   0.242768E+00   0.186143E+01   0.680661E+00   0.487279E+01   0.135635E+02   0.251203E-02      0.121277E+00        0.190666E+00        0.244757E+00        0.398823E-01        0.628327E-01        0.795351E-01        0.675051E+01        0.105855E+02        0.133487E+02     0.275126E-02  -0.338722E-01   0.204721E-04   0.821505E-04   0.463491E-01   0.235597E-01   0.346117E+01   0.696194E+00   0.118541E+01   0.273971E+00   0.132706E+01      0.322326E+02     0.000000E+00    0.100001E+06
  21  drift  0.122392E+02   0.100000E+01  -0.697249E-07   0.193905E+00   0.180211E+00   0.546484E+00   0.505403E+00   0.552324E+01   0.152967E+02   0.251203E-02      0.121277E+00        0.190666E+00        0.244757E+00        0.398823E-01        0.628327E-01        0.795351E-01        0.675071E+01        0.105807E+02        0.133427E+02    -0.402318E-02  -0.338722E-01   0.369022E-04   0.821505E-04   0.463491E-01   0.294763E-01  -0.267588E+00   0.574777E-01  -0.570394E+00   0.150968E+00   0.159600E+01      0.414109E+02     0.000000E+00    0.100001E+06
