 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.18088E+00       0.39407E-02      -0.27552E+01      -0.18969E+02      -0.60133E+00      -0.21138E+01
      0      1      -0.32843E+00       0.60793E-03       0.14692E+01       0.10112E+02       0.44798E+00       0.89883E+00
      0      1       0.41380E+00      -0.36054E-02      -0.16961E+01      -0.11681E+02       0.62437E+00       0.23393E+01
      0      1      -0.20947E+00       0.16339E-02       0.23779E+01       0.16374E+02      -0.79405E+00      -0.29808E+01
      0      1       0.75211E+00       0.13994E-02       0.99490E+00       0.68515E+01      -0.14437E+00       0.68365E-01
      0      1      -0.55369E+00      -0.10536E-02      -0.58747E+00      -0.40414E+01      -0.27546E+00      -0.50026E+00
      0      1      -0.69634E+00       0.32954E-02       0.19667E+01       0.13540E+02       0.26481E+00       0.10495E+01
      0      1      -0.43282E+00       0.39554E-02       0.22586E+01       0.15549E+02      -0.49933E+00      -0.10299E+01
      0      1      -0.67075E-02       0.26220E-02       0.95309E+00       0.65598E+01       0.94090E-01       0.15416E+01
      0      1      -0.51462E+00       0.21839E-02      -0.17588E+01      -0.12110E+02      -0.62245E+00      -0.12009E+01
      0      1       0.22155E+00       0.44195E-03       0.44994E+00       0.30988E+01      -0.42631E+00      -0.11184E+01
      0      1       0.79490E+00      -0.36555E-02       0.23233E+01       0.15995E+02       0.47718E+00       0.80917E+00
      0      1       0.78944E+00      -0.43456E-02      -0.31008E+00      -0.21373E+01       0.22283E+00       0.34394E+00
      0      1       0.82242E+00       0.76491E-03      -0.28268E+01      -0.19461E+02      -0.43711E+00      -0.18676E+01
      0      1       0.64068E-02       0.10989E-02       0.26958E+01       0.18564E+02      -0.32143E+00      -0.13261E+01
      0      1      -0.13896E+01       0.43917E-02      -0.29360E+01      -0.20216E+02       0.18803E+00       0.44829E+00
      0      1       0.51479E+00      -0.58259E-03      -0.26073E+01      -0.17955E+02      -0.51156E+00      -0.10480E+01
      0      1      -0.18842E+00       0.10217E-02       0.20071E+00       0.13836E+01       0.23127E+00      -0.46852E+00
      0      1      -0.89660E+00       0.16385E-03       0.65763E+00       0.45298E+01       0.34187E+00       0.15514E+01
      0      1       0.21733E+00       0.13068E-02      -0.87567E+00      -0.60280E+01       0.50689E+00       0.41405E+00
      0      1       0.27309E+00       0.22643E-03      -0.21574E+01      -0.14853E+02       0.35165E-01      -0.12376E+01
      0      1      -0.65942E+00      -0.49542E-03       0.24700E+01       0.17005E+02       0.56764E+00       0.28804E+01
      0      1      -0.53191E+00       0.67338E-03       0.24015E+01       0.16535E+02       0.38138E+00       0.19108E+00
      0      1       0.83666E+00       0.38535E-04      -0.20112E+01      -0.13844E+02       0.18946E+00       0.17519E+01
      0      1       0.73163E+00      -0.34766E-02      -0.15517E+01      -0.10682E+02      -0.99281E-01       0.27724E+00
      0      1       0.24144E+00      -0.31709E-02      -0.19825E+01      -0.13651E+02       0.33202E-02       0.14798E+01
      0      1       0.48425E-01      -0.12066E-02      -0.19078E+01      -0.13135E+02      -0.12662E+00       0.13813E+01
      0      1      -0.41385E+00      -0.17199E-02       0.18863E+01       0.12988E+02      -0.10567E+00      -0.55344E+00
      0      1      -0.20856E+00       0.13158E-02      -0.26756E+01      -0.18425E+02       0.36553E-01       0.88606E+00
      0      1      -0.20233E+00       0.15051E-02       0.26536E+01       0.18268E+02      -0.57848E-01       0.26649E+00
      0      1      -0.54864E+00      -0.74902E-03      -0.83059E+00      -0.57196E+01      -0.34981E+00       0.31335E+00
      0      1      -0.38196E+00      -0.91425E-03       0.17224E+01       0.11861E+02      -0.55063E+00      -0.16008E+01
      0      1      -0.51830E+00       0.25404E-02      -0.20452E+01      -0.14085E+02       0.33326E+00       0.47008E+00
      0      1      -0.93707E+00       0.28260E-02      -0.50719E+00      -0.34890E+01      -0.16634E+00      -0.40531E+00
      0      1       0.46779E+00       0.20859E-02      -0.86418E-01      -0.59404E+00       0.33024E-01       0.12715E+01
      0      1       0.62946E+00      -0.25155E-02      -0.22767E+00      -0.15666E+01      -0.20470E-02      -0.15130E+01
      0      1       0.91667E+00      -0.29338E-02       0.29705E+01       0.20453E+02      -0.57698E-01      -0.85614E+00
      0      1      -0.66974E+00      -0.33364E-02      -0.12392E+01      -0.85340E+01      -0.79036E-01      -0.11607E+01
